CENTRAL,NODO,NUMCRUCE,DIRECCION,TIPO
1,1,66,AVENIDA LUIS MONTOTO - MENENDEZ PELAYO - RECAREDO,SENTINEL
1,2,67,RECAREDO - PLAZA CARMEN BENITEZ,MTR/2
1,3,68,RECAREDO - PU—ONROSTRO - GONZALO DE BILBAO,DYNAMIC
1,4,69,MARIA AUXILIADORA - MU—OZ TORRERO - JOSE LAGUILLO,MF
1,5,70,RONDA CAPUCHINOS - CARRETERA CARMONA,MF
1,6,71,RONDA   CAPUCHINOS - AVENIDA MIRAFLORES - CORINTO,DYNAMIC
1,7,72,RONDA CAPUCHINOS - AVENIDA DE LA CRUZ ROJA - MAESTRO QUIROGA,DYNAMIC
2,1,73,PARLAMENTO DE ANDALUCIA - DON FADRIQUE - RESOLANA,SENTINEL
2,3,74,TORNEO - PUERTA BARQUETA - PLAZA DUQUESA CAYETANA DE ALBA,MF
4,7,75,PASEO COLON - ANTONIA DIAZ,SENTINEL
4,2,76,PASEO COLON- SANTANDER - POSTIGO DEL CARBON,MF
4,3,77,PASEO COLON - ALMIRANTE LOBO,DYNAMIC_T3
4,4,78,PASEO COLON- PUENTE DE SAN TELMO -PASEO DE LAS DELICIAS,MF4/10
2,11,79,JOSE DIAZ - ANTONIO BUERO VALLEJO,DYNAMIC_T3
52,9,80,PP. AVENIDA DE ANDALUCIA - DOBLA,MF
4,6,81,AVENIDA DE ROMA - PALOS DE LA FRONTERA,DYNAMIC_T3
4,5,82,PASEO DE LAS DELICIAS - AVENIDA DE ROMA,MF
21,19,83,FELIPE II - VALPARAISO,MTR/2
21,20,84,FELIPE II - DIEGO DE LA BARRERA - BOGOTA,SENTINEL
8,1,85,FELIPE II - AVENIDA DE RAMON CARANDE - AVENIDA NUESTRA SE—ORA DE LAS MERCEDES,SENTINEL
8,3,86,GLORIETA VICTIMAS DEL TERRORISMO - NTRA. SRA. DE LAS MERCEDES - ALCALDE JUAN FERNANDEZ,SENTINEL
8,7,87,AVENIDA DE LA PAZ - RONDA NUESTRA SE—ORA DE LA OLIVA,SENTINEL
8,8,88,AVENIDA DE LA PAZ - REINA DE LOS ANGELES,SENTINEL
21,17,89,AVENIDA DE LA BORBOLLA - FELIPE II,DYNAMIC_T3
3,8,90,REYES CATOLICOS - ARJONA - PASEO COLON,MF
3,10,91,REYES CATOLICOS - MARQUES DE PARADAS - PASTOR Y LANDERO,DYNAMIC
3,11,92,REYES CATOLICOS - JULIO CESAR - SANTAS PATRONAS - ZARAGOZA - SAN PABLO,MTR/3
3,14,93,PLAZA DE LA LEGION - MARQUES DE PARADAS,DYNAMIC
3,15,94,MARQUES DE PARADAS - SAN LAUREANO - ALFONSO XI,MTR/2
1,18,95,PLAZA PONCE DE LEON - JUAN DE MESA,MTR/3
10,12,96,AVENIDA KANSAS CITY - AVENIDA EL GRECO,MF
11,9,97,AVENIDA KANSAS CITY - CARRETERA DE CARMONA - MACEDONIA,DYNAMIC_T3
14,3,98,AVENIDA DE ANDALUCIA - RONDA DEL TAMARGUILLO,MFU
10,27,99,GRAN PLAZA - AV. EDUARDO DATO - AV. CRUZ DEL CAMPO -MARQUES DE PICKMAN - AV. CIUDAD JARDIN,DYNAMIC
50,5,100,TORRELAGUNA    - TORREMEGIA,MF5
7,14,101,AVENIDA MANUEL SIUROT - TORCUATO LUCA DE TENA,MF5
3,13,102,MARQUES DE PARADAS - JULIO CESAR - CANALEJAS,DYNAMIC
3,3,103,TORNEO - BA—OS,MTR/1
11,29,104,PP. AVENIDA KANSAS CITY - NARANJITO DE TRIANA,SENTINEL
10,26,105,PP. AVENIDA DE LA BUHAIRA - PIRINEOS,SENTINEL
3,9,106,PASEO COLON - ADRIANO,DYNAMIC
6,10,107,MAESTRANZA AEREA (ANTIGUO GARCIA MORATO) - ALFONSO DE ORLEANS,DYNAMIC
9,16,108,ESPINOSA Y CARCEL - FERNANDEZ DE RIBERA,MTR/3
