CENTRAL,NODO,NUMCRUCE,DIRECCION,TIPO
7,19,281,AVENIDA DE LA RAZA - CARDENAL BUENO MONREAL - PUENTE DE LAS DELICIAS,MF5
15,1,282,SE 30- AVENIDA MONTES   SIERRA - AVENIDA ALCALDE LUIS URU—UELA,DYNAMIC
11,19,283,AVENIDA ALCALDE MANUEL DEL VALLE - GRUPO LAS NACIONES - ARQUITECTO JOSE GOMEZ MILLAN - GUADAJOZ,DYNAMIC
12,20,284,AVENIDA ALCALDE MANUEL DEL VALLE - ALEJANDRO SAWA,MFU
12,19,285, ALCALDE MANUEL DEL VALLE - AVENIDA SAN JUAN DE LA SALLE - AVENIDA DE LA MUJER,MFU
12,5,286,AVENIDA ALCALDE MANUEL DEL VALLE - AVENIDA PINO MONTANO,DYNAMIC_T3
12,13,287,AVENIDA ALCALDE MANUEL DEL VALLE - ESTRELLA ORIENTE - DIEGO PESQUERA,DYNAMIC_T3
11,11,288,GLORIETA FUERTE NAVIDAD - AVENIDA KANSAS CITY - AVENIDA VILLAS DE CUBA - CONDE OSBORNE,MFU
11,15,289,CARRETERA CARMONA - AVENIDA DE LLANES - RAFAEL ALBERTI - TORMES,MF
50,18,290,PAGES DEL CORRO - PARAISO - GENOVA - TROYA - ARDILLA,MF5
6,20,291,PP. AVENIDA JUAN PABLO II- BARBERAN Y COLLAR,MF5
3,5,292,TORNEO - SAN LAUREANO,DYNAMIC
3,4,293,TORNEO - PROLONGACION MARQUES DE PARADAS,DYNAMIC
10,11,294,AVENIDA KANSAS CITY - ESTACION SANTA JUSTA,DYNAMIC_T3
10,10,295,AVENIDA KANSAS CITY - JOSE LAGUILLO,MF
3,2,296,TORNEO - JUAN RABADAN,DYNAMIC
5,12,297,RONDA DE TRIANA - SAN VICENTE DE PAUL - JUAN DE PINEDA,MTR/3
51,30,298,GLORIETADELA MINERALOGIA - RONDA DEL TAMARGUILLO,RTAC
51,32 ,299,RONDA DEL TAMARGUILLO - CALLE DE SAN FERNANDO         (MADERAS LA FORESTAL),DYNAMIC_T3
51,17,300,AGRICULTORES - SEMBRADORES - ESTRELLA ANTARES,MF5
51,10,301,MEDINA Y GALNARES - CALAMAR - MERO - ACCESO F.A.S.A. RENAULT,MF5
10,9,302,AVENIDADELA BUHAIRA - PABLO PICASSO - SANTA JUANA JUGAN,DYNAMIC
10,8,303,AVENIDA LUIS MONTOTO - AVENIDA DE LA BUHAIRA,MF
10,6,304,AVENIDA EDUARDO      DATO - AVENIDA BUHAIRA,DYNAMIC
50,10,305,RONDA DE LA NEGRILLA - CHUCENA - SAN JOSE DE PALMETE,MF5
3,1,306,TORNEO - NARCISO BONAPLATA,MTR/2
3,20,307,RONDA TRIANA - AVDA. EXPO 92 - GONZALO JIMENEZ DE QUESADA,MF
3,21,308,GLORIETA DE LOS DESCUBRIMIENTOS - CARRETERA HUELVA - CARLOS III - ODIEL,MF
3,7,309,ARJONA - ALBUERA,MF
22,1,310,GLORIETA OLIMPICA,DYNAMIC_T3
12,18,311,AVENIDA DE LA MUJER TRABAJADORA - FAMILIAS CUIDADORAS - BARRIADA SAN DIEGO,MFU
2,4,312,AVENIDA CONCEJAL ALBERTO JIMENEZ BECERRIL - JOSE DIAZ,DYNAMIC
21,21,313,RAMON CARANDE - DR. PEDRO CASTRO - MIGUEL RODRIGUEZ PI—ERO,SENTINEL
54,7,314,ENRAMADILLA - AVENIDA DE LA BUHAIRA,MG
50,11,315,RONDA DE LA NEGRILLA - LEPE - GALAROZA,DYNAMIC
1,14,316,AVENIDA LUIS MONTOTO - JUAN ANTONIO CAVESTANY - JOSE MARIA MORENO GALVAN,MF
54,6,317,JUAN DE MATA CARRIAZO - ENRAMADILLA - AVENIDA DE LA BORBOLLA - CARLOS V,MG
21,5,318,JUAN DE MATA CARRIAZO - EDUARDO DATO,SENTINEL
21,7,319,JUAN DE MATA CARRIAZO - AVENIDA DE MALAGA - PERIODISTA EMILIO SEGURA,SENTINEL
6,9,320,AVENIDA JUAN PABLO II - ALFONSO DE ORLEANS,SENTINEL
15,2,321,AVENIDA ALCALDE LUIS URU—UELA - LUIS FUENTES BEJARANO,SENTINEL
15,5,322,AVENIDA  DE LAS CIENCIAS - AVENIDA ALCALDE LUIS URU—UELA - AVENIDA REPUBLICA CHINA - URBANO ORAD,DYNAMIC_T3
15,6,323,AVENIDA DE LAS CIENCIAS - AVENIDA EMILIO LEMOS,SENTINEL
15,7,324,AVENIDA DE LAS CIENCIAS - MEDICOS SIN FRONTERAS - DEMOFILO,RMY
15,8,325,AVENIDA DE LAS CIENCIAS - FLOR DE GITANILLA - ULISES,RMY
15,9,326,AVENIDA DELAS CIENCIAS - CARLINGA - PRIMO NEBIOLO - FLORA TRISTAN - DR. MIGUEL RIOS SARMIENTO,DYNAMIC
14,13,327,AVENIDA DE ANDALUCIA - AMOR,MFU
14,12,328,AVENIDADE ANDALUCIA- AVENIDA PARQUE AMATE - COMERCIO,MFU
1,21,329,GLORIETA DE JULIAN BESTEIRO - JUAN ANTONIO.CAVESTANY - JOSE LAGUILLO - AVENIDA PABLO IGLESIAS,SENTINEL
1,11,330,JOSE LAGUILLO - AMADOR DE LOS RIOS - PEREZ HERVAS,DYNAMIC
52,30,331,DOCTOR MIGUEL RIOS SARMIENTO - SALIDA FIBES,RTAC
51,26,332,SUPER NORTE - CORTIJO DE LAS CASILLAS,DYNAMIC_T3
1,22,333,AVENIDA PABLO IGLESIAS - URQUIZA - SAN JUAN BOSCO,MF4/10
22,2,334,PP. JUVENTUDES MUSICALES - CAMINO DEL ALMEZ,SENTINEL
8,11,335,AVENIDA ALFONSO LASSO DE LA VEGA - AVENIDA POETA MANUEL BENITEZ CARRASCO,RTAC
8,13,336,AVENIDA ALFONSO LASSO DE LA VEGA - ALMIRANTE TOPETE,SENTINEL
8,12,337,LUCA DE TENA - POETA M. BENITEZ CARRASCO - VICTORIA DOMINGUEZ CERRATO - PARROCO A. GONZALEZ ABATO,MF
8,15,338,TORCUATO LUCA DE TENA - CASTILLO SA√ëOS DE LA ENCINA - LUIS ROSALES,DYNAMIC
8,16,339,CARDENAL ILUNDAIN - ANTONIO MAURA MONTANER - AVENIDA ALFONSO LASSO DE LA VEGA,DYNAMIC
8,17,340,CARDENAL ILUNDAIN - TABLADILLA,DYNAMIC
20,3,341,AVENIDA DE JEREZ - AVENIDA DE FINLANDIA - ACCESO FREMAP - ACCESO HOSPITAL MILITAR,MF5
15,4,342,AVENIDA MONTES SIERRA - DON JUAN,RTAC
3,24,343,RONDA TRIANA - TEJARES - NICULOSO PISANO,MTR/2
3,23,344,RONDA TRIANA- ALFARERIA - RAFAEL BELMONTE GARCIA,SENTINEL
50,9,345,RONDA DE LA NEGRILLA RONDA DE LA DOCTORA,MF5
51,7,346,GLORIETA DE LOS FERROVIARIOS - MEDINA Y GALNARES - NAVARRA - AVENIDA SAN JER”NIMO - DOCTOR      FEDRIANI,MF5
3,25,347,RONDA TRIANA - MANUEL ARELLANO,DYNAMIC_T3
13,15,348,GLORIETA AMANTINA   COBOS - AVENIDA DE LA PLATA - RAFAEL DE LEON - RONDA PADRE PIO - VALENTINA PINELO,MFU
51,16,349,AGRICULTORES - CAMINO DE LOS TOROS - MAR DE ALBORAN,DYNAMIC_T3
8,18,350,CARDENAL BUENO MONREAL - AV. RAMON CARANDE - C/ JUAN DE LA COSA,SENTINEL
7,25,351,CARDENAL BUENO MONREAL - VALPARAISO,MF5
51,19,352,RONDA SUPER NORTE - CARRETERA DE MIRAFLORES (R.SUPER NORTE-ACC.VALDEZORRAS),MF5
23,3,353,RONDA URBANA   NORTE - NUEVO POLIGONO CALONGE - ESPATULA - AZOGUE,MFU
16,3,354,AVENIDA CARLOS II - GREGOR MENDEL,SENTINEL
14,19,355,AVENIDA DE ANDALUCIA - MANUEL VELASCO PANDO,MFU
9,22,356,PP. RONDA PEL TAMARGUILLO - EDUCACION Y CIENCIA,MF
14,24,357,AMOR - SATSUMA - CA—ADUL,MFU
14,22,358,AVENIDA DE PEDRO ROMERO - FRASCUELO,MFU
11,12,359,METALURGIA - ESTA—O - BRONCE - TERBIO,RTAC
13,21,360,PP. AVENIDA HYTASA - POLIDEPORTIVO HYTASA - ALVAREZ BENAVIDES,MFU
7,26,361,CARDENAL BUENO MONREAL - ANTONIO MAURA MONTANER - BOGOTA,MF5
22,5,362,AVENIDAJOSE GALAN MERINO - EUCALIPTO - CAMINO VIEJO DE LA ALGABA,DYNAMIC
51,2,363,PP. AVENIDA JOSE GALAN MERINO - CANTINA,DYNAMIC
51,3,364,AVENIDA JOSE GALAN MERINO - ALCALA DEL RIO,DYNAMIC
51,4,365,AVENIDA JOSE GALAN MERINO - LARACHE,DYNAMIC
51,22,366,AVENIDA JOSE GALAN MERINO - CARRETERA DE LA ALGABA - NAVARRA - PEZ ESPADA,DYNAMIC
16,1,367,AVENIDA CARLOS IIl - FRANCISCO DE MONTESINOS,DYNAMIC
16,2,368,AVENIDA CARLOS III - ACCESO G.M.U.,DYNAMIC
15,15,369,AVENIDA DE SENECA - CIUDAD DE LIRIA,DYNAMIC_T3
10,4,370,AVENIDA LUIS MONTOTO - ALBERTO DURERO,MF
16,5,371,AVENIDA CARLOS II - HERMANOS DELUYAR,MF
51,14,372,CORRAL DEL AGUA - CORRAL DE LOS OLMOS - PARQUE DE DO—ANA,DYNAMIC_T3
8,19,373,CARDENAL BUENO MONREAL - PEDRO SALINAS - COLLAULT VALERA,SENTINEL
11,27,374,AVENIDA LLANES - AMALIA TORRIJOS - NAVIA,MFU
11,28,375,AVENIDA LLANES - ESCULTOR FRANCISCO BUIZA - SANTA MARIA DE LAS ROCINAS,MFU
16,9,376,AMERICO VESPUCIO - GREGOR MENDEL,RMY
18,9,377,AMERICO VESPUCIO - FRANCISCO MONTESINOS - INCA GARCILASO,RMY
16,10,378,PUENTE DE LA BARQUETA - MATEMATICOS REY PASTOR Y CASTRO - JOSE DE GALVEZ,DYNAMIC
51,13,379,CORRAL DEL AGUA - CAMINO DE LOS TOROS - ESTRELLA CANOPUS,SENTINEL
15,14,380,AVENIDADE SENECA - CIUDAD DE ALFAFAR,RTAC
15,12,381,SECOYA - CIUDAD DE CHIVA - POLIGONO INDUSTRIAL AUTOPISTA,DYNAMIC
12,12,382,GLORIETA BERROCAL - AVENIDA ALCALDE MANUEL DEL VALLE - PARQUE DE DO—ANA - RONDA DEL TAMARGUILLO,DYNAMIC_T3
15,10,383,|AVENIDADE LA AERONAUTICA - AVENIDA DEL DEPORTE,DYNAMIC
4,11,384,PP PASEODELAS DELICIAS - PARQUE DE MARIA LUISA,SENTINEL
16,4,385,AVENIDA CARLOS III - MARIE CURIE,DYNAMIC
50,19,386,PP AVENIDA PRESIDENTE ADOLFO SUAREZ - VIRGEN DE LA CINTA (PP CARRERO BLANCO-CIRCULO MERCANTIL,MF5
6,13,387,VIRGEN DE LUJAN-PADRE DAMIAN,DYNAMIC
2,23,388,AVENIDA LA BARZOLA - CONSTANTINA,DYNAMIC_T3
21,22,389,DR. PEDRO CASTRO - FERNANDO VILLALON,SENTINEL
7,29,390,IFNI- CHILE - AVENIDA DE GRECIA,MF5
4,11,391,AVENIDA LA BARZOLA - COMUNIDAD EXTREME—A - CAMINO DE CANTALOBOS,DYNAMIC_T3
15,18,392,AVENIDA REPUBLICA CHINA- BIRMANIA,SENTINEL
15,19,393,AVENIDA EMILIO LEMOS - BIRMANIA - MEDICOS MUNDI,RTAC
4,10,394,PP PASEO DE LAS DELICIAS - PABELLON     DE GUATEMALA,SENTINEL
1,28,395,PP AV JOSE LAGUILLO - PARADA BUS SANTA JUSTA,SENTINEL
12,24,396,REAL DE LA JARA - COMUNIDAD EXTREME—A - COMUNIDAD VALENCIANA - CAZALLA DE LA SIERRA,DYNAMIC_T3
16,8,397,AMERICO VESPUCIO - LEONARDO DA VINCI,MF
16,11,398,CAMINO DE LOS DESCUBRIMIENTOS - MARIE CURIE - MATEMATICOS REY PASTOR Y CASTRO,RTAC
9,27,399,RONDA DEL TAMARGUILLO - ALBERCHE,MF
9,24,400, PLAZA DE ANTONIO APARICIO HERRERO - MARQUES DE NERVION - JUAN DE PADILLA - VILLEGAS Y MARMOLEJO,DYNAMIC
9,25,401,TARRAGONA - JUAN DE LEDESMA,DYNAMIC
13,16,402,AVENIDA DO—A FRANCISQUITA - AVENIDA DE LA CALESERA,MFU
12,14,403,AVENIDA LA BARZOLA - CAZALLA DE LA SIERRA,DYNAMIC_T3
51,12,404,ESTRELLA BETELGUEUSE - ESTRELLA CANOPUS,DYNAMIC
51,15,405,MAR DE ALBORAN - CORRAL DE LOS OLMOS - PARQUE DE LOS ALCORNOCALES,DYNAMIC_T3
11,25,406,AVENIDA PEDRO ROMERO - ANTIOQUIA - AVENIDA VILLAS DE CUBA - CARABELA LA PINTA,MFU
15,20,407,ALMENDRALEJO - TURIA - ASTRONOMO JOSE LUIS COMELLAS,DYNAMIC_T3
7,28,408,IFNI- DOCTOR FLEMING - IGUAZU - AVENIDA DE HOLANDA,MF5
21,23,409, AVENIDA DE LA BUHAIRA - JM RECUERDA RUBIO - CAMILO JOSE CELA - CAMPOAMOR TORERO MANOLO VAZQUEZ,MF
52,15,410,AVENIDA DE SENECA - ILDEFONSO MARA—ON LAVIN,DYNAMIC
50,13,411,LEON XIII - JORGE DE MONTEMAYOR,MF5
15,22,412,DOCTOR MIGUEL RIOS SARMIENTO - URBANO ORAD,RTAC
9,28,413,PUERTO DEL ESCUDO - PUERTO DE LOS ALAZORES - PAULO OROSIO,RTAC
15,23,414,DOCTOR MIGUEL RIOS SARMIENTO - INSTITUTO 5∫ CENTENARIO,SENTINEL
15,24,415,DOCTOR MIGUEL RIOS SARMIENTO - DEMOFILO,SENTINEL
16,6,416,LEONARDO DA VINCI - MARIE CURIE,RTAC
52,28,417,AVENIDA'DE LA INDUSTRIA - AVENIDA DEL TRANSPORTE,RTAC
52,25,418,RAFAEL BECA MATEOS - COMERCIO,MFU
,,419,R.PI—EIRO - PIROTECNIA,SENTINEL
20,4,420,AVENIDA DE GRECIA - AVENIDA DE FRANCIA,MF5
20,6,421,AVENIDA DE REINO UNIDO - NUESTRA SE√ëORA DEL PILAR,MF5
50,8,422,SINCERIDAD - SAN JOSE DE PALMETE - AFAN - IMPRENTA - PLEGADORA,MF5
50,7,423,HONESTIDAD - COMPASION - SAN JOSE DE PALMETE - LAMINADORA - PINO SIBERIA,MF5
50,21,424,PP. AVENIDA LAS LETANIAS - REINA DE LOS ANGELES,SENTINEL
51,18,425,PP. PROFESOR TIERNO GALVAN(PP BDA. LAS ALMENAS-BDA. LOS ARCOS),MF5
13,17,426,RONDA PADRE PIO - LA PUEBLA DEL RIO,MFU
2,25,427,PP. ALBERTO JIMENEZ BECERRIL - MAIMONIDES,MF4/2
14,25,428,AVENIDA SAN JUAN DE LA CRUZ - JULIAN DE AVILA - AVENIDA JUAN XXIII - LUISA DE LA CERDA,MFU
7,27,429,AVENIDA DE GRECIA - AVENIDA DE ITALIA,SENTINEL
13,18,430,AVENIDA DE LA CALESERA - AVENIDA DE LA MONTERIA,MFU
8,20,431,RONDA DE NUESTRA SE—ORA DE LA OLIVA  MADRE DE CRISTO (RONDA DE LA OLIVA - LUIS ORTIZ MU—OZ),DYNAMIC
52,24,432,AVENIDA DEL DEPORTE - ACCESO TORREBLANCA - AVENIDA DE PERO MINGO,DYNAMIC_T3
10,7,433,AVENIDA LUIS DE MORALES - ACCESO PARKING EL CORTE INGLES,MF4/4
15,26,434,PP. AVENIDA DE LA AERONAUTICA- ANDALUCIA RESIDENCIAL - EDIFICIO HELIOS,SENTINEL
15,27,435,PP. AVENIDA DE LAS CIENCIAS - FLORDE AZALEA,RTAC
11,26,436,PP. BALTASAR ALCAZAR - SANCHEZ SAMANIEGO,MFU
12,23,437,AVENIDA DE LAS ASOCIACIONES DE VECINOS - AJIMEZ - OJIVA,MFU
50,30,438,JUAN DE LEDESMA - LISBOA,MF
14,26,439,PP. ADA - ACCESO MERCADONA,MFU
16,7,440,PASARELA DE LA CARTUJA - CAMINO DE LOS DESCUBRIMIENTOS,RTAC
51,29,441,GLORIETA OCEANOGRAFIA - AVENIDA DE LA INGENIERIA - AVENIDA DE LA ASTRONOMIA - ESTRELLA BETELGUEUSE,RTAC
50,27,442,AVENIDA DE LA ASTRONOMIA - GEOLOGIA - QUIMICA,RTAC
17,8,443,AVENIDA DE JEREZ - ACCESO POLIGONO INDUSTRIAL PINEDA - EXPOLOCAL,MF
17,1,444,PP. AVENIDA DE JEREZ - ZEUS,DYNAMIC
17,2,445,ROTONDA REAL VENTA DE ANTEQUERA - AVENIDA DE JEREZ - AVENIDA DE BELLAVISTA - JARDINES DE LA ALHAMBRA,MF
17,3,446,PP. AVENIDA DE BELLAVISTA - ALONSO SANCHEZ DE HUELVA - EDUARDO MIURA - MALLORCA - SALAMANCA,SENTINEL
17,5,447,PP. AVENIDA DE BELLAVISTA - TORRES FARFAN - AGUJAS - MARTE - BA—ER DE SALCEDO,DYNAMIC
17,6,448,AVENIDA BELLAVISTA - ALVAR NEGRO - ENAMORADO - ESPEJO  - CARRETERA N-IV,MF
10,25,449,LUIS MONTOTO - HERNANDO DEL PULGAR,RTAC
9,23,450,COMPOSITOR MANUEL CASTILLO - PRESIDENTE CARDENAS - PIROTECNIA,MF
13,19,451,PP. AGUILA PERDICERA - AGUILA DE ORO,RTAC
1,24,452,SAN JUAN BOSCO - ESPERANZA DE LA TRINIDAD,MF
1,25,453,SAN JUAN BOSCO - CARRETERA CARMONA,DYNAMIC
19,11,454,AVENIDA DEL DEPORTE - MEDICOS SIN FRONTERAS - MEDICOS MUNDI - AVENIDA EMILIO LEMOS,RTAC
50,6,455,TORRELAGUNA - MARINALEDA - AVENIDA DE PERO MINGO - TORRES ALBAS,MF5
50,12,456,PASO BICI N IV - ANTIGUO CUARTEL CABALLERIA,SENTINEL
19,1,457,AVENIDA EMILIO LEMOS - INDONESIA - PERIODISTA EDUARDO CHINARRO DIAZ,DYNAMIC
19,4,458,AVENIDA DEL DEPORTE - DOCTOR MADRAZO OSUNA,RTAC
50,4,459,CARRETERA SU EMINENCIA - CASTILLO DE MARCHENILLA - JANDULA,MF5
1,27,460,JUAN ANTONIO CAVESTANY - JUPITER,MF
50,26,461,TRABAJADORES INMIGRANTES - PUEBLO PALESTINO,DYNAMIC_T3
7,17,462,PAEZ DE RIVERA - SOR GREGORIA DE SANTA TERESA,MF5
20,9,463,AVENIDA DE REINO UNIDO - ALEMANIA - POLONIA,MF5
20,7,464,AVENIDA DE FRANCIA - GOLETA - FRAGATA - NUESTRA SE—ORA DEL PILAR - PASEO DE EUROPA,RTAC
20,8,465,AVENIDA DE ALEMANIA - SUECIA - PASEO DE EUROPA,MF5
50,25,466,SINAI - BALTASAR GRACIAN - HERNANDO DEL PULGAR,MF5
50,31,467,AVENIDA DE LAS ASOCIACIONES DE VECINOS - LAS DALIAS - ACCESO POLIGONO STORE,RTAC
9,21,468,AVENIDA ALCALDE JUAN FERNANDEZ - ALHAMBRA - PROFESOR BUENAVENTURA PINILLOS,MF
2,26,469,MU—OZ LEON - SANCHEZ PERRIER,SENTINEL
1,26,470,MARIAçAUXILIADORA - SALESIANOS,MF5/4
51,27,471,AGRICULTORES - ESTRELLA BETELGUEUSE,RTAC
52,17,472,AVENIDA DE LA PRENSA - COMERCIO - NUEVAS PROFESIONES,RTAC
14,21,473,CODORNIZ - ALONDRA - GALAXIA,MFU
10,23,474,AVENIDA DE LA CRUZ DEL CAMPO - RICO CEJUDO,MF
52,1,475,AVENIDA DE SENECA - EMILIA BARRAL,MF5
52,27,476,AVENIDA DEL. DEPORTE - CARLINGA - PRIMO NEBIOLO,RTAC
17,7,477,AVENIDA BELLAVISTA - GALATEA - CIBELES - PALOMA - CARRETERA N-IV,MF
52,2,478,PP. AV. DE LAS CIENCIAS - FLOR DE SALVIA,RTAC
4,9,479,PALOS DE LA FRONTERA - LA RABIDA,MF
52,3,480,ROTONDA ACCESO TORREBLANCA - AVENIDA PERO MINGO,DYNAMIC
19,2,481,AVENIDA EMILIO LEMOS - INDIA - PERIODISTA JUAN TRIBUNA,RTAC
19,3,482,AVENIDA EMILIO LEMOS - TAIWAN - CAPELLAN LEONARDO DEL CASTILLO,RTAC
19,5,483,PERIODISTA EDUARDO CHINARRO DIAZ - PROFESOR FAUSTINO GUTIERREZ ALVIZ,RTAC
19,6,484,PROFESOR FAUSTINO GUTIERREZ ALVIZ - PERIODISTA JUAN TRIBUNA,RTAC
19,7,485,PROFESOR FAUSTINO GUTIERREZ ALVIZ - CAPELLAN LEONARDO DEL CASTILLO - PROFESOR MANUEL,RTAC
19,8,486,AVENIDA DEL DEPORTE - FLOR DE GITANILLA - PROFESOR MANUEL OLIVENCIA RUIZ,RTAC
19,9,487,PERIODISTA EDUARDO CHINARRO DIAZ - PROFESOR MANUEL OLIVENCIA RUIZ,RTAC
19,10,488,PROFESOR MANUEL OLIVENCIA RUIZ - PERIODISTA JUAN TRIBUNA,RTAC
51,24,489,PROLONGACION BIOLOGIA - TRABUCO - MIGUEL ROMERO MARTINEZ - CALLE DE LA ESTACION,DYNAMIC
13,20,490,AVENIDA HYTASA - QUEJIO,MFU
54,8,491,ENRAMADILLA - BALBINO MARRON - AVENIDA LUIS CARANDE,MG
51,25,492,AVENIDA SAN JER”NIMO - CALLE TAMARGUILLO,RTAC
52,29,493,CARRETERA DE BRENES - OSO PANDA,RTAC
51,23,494,AVENIDADE LA INGENIERIA - ESTRELLA CASTOR,RTAC
51,31,495,AVENIDA DE LA INGENIERIA - ESTRELLA DENEB,RTAC
51,5,496,RONDA URBANA NORTE - PARQUE DE LOS ALCORNOCALES - BUZON,DYNAMIC_T3
8,23,497,ALFONSO LASSO DE LA VEGA - SIERRA DE LA GRANA,SENTINEL
52,16,498,SAN JUAN DE LA CRUZ - BEATRIZ DE AHUMADA,SENTINEL
52,7,499,AVENIDA PARQUE AMATE - MAGNETISMO - GENERADOR,DYNAMIC
52,18,500,PP MARQUES DE PICKMAN - DO—A JUANA DE CASTILLA,SENTINEL
20,5,501,AVENIDA JEREZ - NUESTRA SE—ORA DEL PILAR (MERCADONA),MF4
52,6,502,CARRETERA DE CARMONA - HIGUERA DE LA SIERRA,MF4
8,24,503,AVENIDA ALCALDE JUAN FERNANDEZ - AVION CUATRO VIENTOS,MF4
51,9,504,ESTRELLA CANOPUS - ESTRELLA CASTOR,RTAC
52,3,505,CARRETERA DE SU EMINENCIA - GUARDERIA EL NIDO,SENTINEL
21,10,506,JUAN DE MATA CARRIAZO - AVENIDA DE CADIZ,MF
52,11,507,SECOYA - INNOVACION - ALMENDRALEJO,MF4
52,12,508,AMERICO VESPUCIO - HERMANOS DELUYAR,DYNAMIC
2,19,509,AVENIDAJIMENEZ BECERRIL - PROCURADORA ASCENSION GARCIA,MF
51,28,510,AGRICULTORES - ESTRELLA PROCION,RTAC
52,26,511,AVENIDA IRLANDA - ESTONIA,RTAC
18,4,512,PP. INCA GARCILASO - JUAN DE CASTELLANOS,RTAC
18,3,513,INCA GARCILASO - JUAN ANTONIO VIZARR”N,DYNAMIC
18,2,514,PP. INCA GARCILASO - EDIFICIO TORRETRIANA,RTAC
18,3,515,INCA GARCILASO - JER”NIMO DE AGUILAR,SENTINEL
18,5,516,CAMINO DESCUBRIMIENTOS - FRANCISCO DE MONTESINOS,RTAC
18,6,517,CAMINO DESCUBRIMIENTOS - LOPEZ PINTADO,RTAC
18,7,518,PP.CAMINO DESCUBRIMIENTOS,RTAC
18,8,519,CAMINO DESCUBRIMIENTOS - JIM…NEZ DE QUESADA,RTAC
52,13,520,PP.TAIWAN-CHINA,RTAC
6,15,521,ALFREDO KRAUS - PARKING LANZADERA,RTAC
9,30,522,PP AVENIDA DE HYTASA - ARAGON,SENTINEL
8,25,523,PP POETA MANUEL BENITEZ CARRASCO - PARQUE CELESTINO MUTIS,DYNAMIC
19,12,524,FLOR DE GITANILLA - FLOR DE RETAMA - DOCTORA NAVARRO RODRIGUEZ,DYNAMIC
52,21,525,FLOR DE GITANILLA - FLOR DE ALBAHACA - FERNANDA CALADO ROSALES,SENTINEL
52,23,526,PP.AVENIDA INGENIERIA - HOTEL HILTON,DYNAMIC
52,20,527,INNOVACION - ASTRONOMO JOSE LUIS COMELLAS,DYNAMIC
50,1,528,PP. MONTES SIERRA (G”MEZ MAQUEDA),DYNAMIC_T3
50,2,529,CORRAL DELAGUA - SIERRA DE AROCHE - CORRAL BARQUILLEROS,DYNAMIC_T3
12,4,530,PP.AVENIDA PINO MONTANO - COMUNIDAD EXTREME—A,DYNAMIC_T3
2,5,531,AVENIDASANCHEZ PIZIUAN - INSTITUTO ANAT”MICO FORENSE,DYNAMIC_T3
12,8,532,AVENIDA PINO MONTANO  - ACCESO BARRIADA SAN DIEGO,DYNAMIC_T3
5,5,533,PP RONDA TRIANA - PARQUE DEL TURRU—UELO,DYNAMIC_T3
5,6,534,PP LOPEZDE GOMARA-GIJON,DYNAMIC_T3
6,21,535,AVENIDA FLOTA DE INDIAS - PE—A BETICA LOS REMEDIOS,DYNAMIC_T3
6,19,900,MURO DEFENSA - ACCESO APARCAMIENTO CHARCO DE LA PAVA,MF
